Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts
8/27/25,I'm The Problem,Morgan Wallen,1,1,1,14
8/27/25,KPop Demon Hunters,Soundtrack,2,2,2,9
8/27/25,Wishbone,Conan Gray,3,3,1,-
8/27/25,The Last Wun,Gunna,4,3,3,2
8/27/25,You'll Be Alright; Kid,Alex Warren,5,5,5,39
8/27/25,Hit Me Hard And Soft,Billie Eilish,6,24,2,66
8/27/25,One Thing At A Time,Morgan Wallen,7,8,1,129
8/27/25,SOS,SZA,8,10,1,141
8/27/25,Swag,Justin Bieber,9,7,2,6
8/27/25,The Tortured Poets Department,Taylor Swift,10,18,1,70
8/27/25,Short n' Sweet,Sabrina Carpenter,11,13,1,52
8/27/25,Debi Tirar Mas Fotos,Bad Bunny,12,15,1,33
8/27/25,Dangerous: The Double Album,Morgan Wallen,13,16,1,241
8/27/25,Own Worst Enemy,Gavin Adcock,14,14,1,-
8/27/25,Where I've Been; Isn't Where I'm Going,Shaboozey,15,20,5,64
8/27/25,The Rise And Fall Of A Midwest Princess,Chappell Roan,16,19,2,74
8/27/25,Rumours,Fleetwood Mac,17,21,1,647
8/27/25,$ome $exy $ongs 4 U,PARTYNEXTDOOR & Drake,18,26,1,27
8/27/25,Stick Season,Noah Kahan,19,23,2,143
8/27/25,Lover,Taylor Swift,20,38,1,313
8/27/25,Folklore,Taylor Swift,21,29,1,265
8/27/25,Star Line,Chance the Rapper,22,22,1,-
8/27/25,So Close To What,Tate McRae,23,28,1,26
8/27/25,GNX,Kendrick Lamar,24,27,1,39
8/27/25,Hamilton: An American Musical,Original Broadway Cast,25,25,2,517
8/27/25,reputation,Taylor Swift,26,32,1,361
8/27/25,Don't Tap The Glass,Tyler| the Creator,27,22,1,5
8/27/25,Midnights,Taylor Swift,28,44,1,148
8/27/25,The Secret Of Us,Gracie Abrams,29,33,2,61
8/27/25,Take Care,Drake,30,34,1,651
