State,District,Name,Rating
CA,21,Costa,LIKELY DEMOCRAT
CA,25,Ruiz,LIKELY DEMOCRAT
CA,49,Levin,LIKELY DEMOCRAT
CT,5,Hayes,LIKELY DEMOCRAT
IL,17,Sorensen,LIKELY DEMOCRAT
IN,1,Mrvan,LIKELY DEMOCRAT
MI,3,Scholten,LIKELY DEMOCRAT
MN,2,OPEN (Craig),LIKELY DEMOCRAT
NH,1,OPEN (Pappas),LIKELY DEMOCRAT
NH,2,Goodlander,LIKELY DEMOCRAT
NV,1,Titus,LIKELY DEMOCRAT
NV,4,Horsford,LIKELY DEMOCRAT
NY,18,Ryan,LIKELY DEMOCRAT
NY,22,Mannion,LIKELY DEMOCRAT
OH,1,Landsman,LIKELY DEMOCRAT
PA,17,Deluzio,LIKELY DEMOCRAT
VA,10,Subramanyam,LIKELY DEMOCRAT
WA,8,Schrier,LIKELY DEMOCRAT
CA,9,Harder,LEAN DEMOCRAT
CA,27,Whitesides,LEAN DEMOCRAT
CA,47,Min,LEAN DEMOCRAT
FL,23,Moskowitz,LEAN DEMOCRAT
MI,8,McDonald Rivet,LEAN DEMOCRAT
NE,2,OPEN (Bacon),LEAN DEMOCRAT
NJ,9,Pou,LEAN DEMOCRAT
NV,3,Lee,LEAN DEMOCRAT
NY,3,Suozzi,LEAN DEMOCRAT
NY,19,Riley,LEAN DEMOCRAT
OR,5,Bynum,LEAN DEMOCRAT
VA,7,Vindman,LEAN DEMOCRAT
CA,13,Gray,DEMOCRAT TOSS UP
CA,45,Tran,DEMOCRAT TOSS UP
ME,2,Golden,DEMOCRAT TOSS UP
NC,1,Davis,DEMOCRAT TOSS UP
NM,2,Vasquez,DEMOCRAT TOSS UP
NY,4,Gillen,DEMOCRAT TOSS UP
OH,9,Kaptur,DEMOCRAT TOSS UP
OH,13,Sykes,DEMOCRAT TOSS UP
TX,28,Cuellar,DEMOCRAT TOSS UP
WA,3,Perez,DEMOCRAT TOSS UP
AZ,1,Schweikert,REPUBLICAN TOSS UP
AZ,6,Ciscomani,REPUBLICAN TOSS UP
CO,8,Evans,REPUBLICAN TOSS UP
IA,1,Miller-Meeks,REPUBLICAN TOSS UP
MI,7,Barrett,REPUBLICAN TOSS UP
PA,7,Mackenzie,REPUBLICAN TOSS UP
PA,10,Perry,REPUBLICAN TOSS UP
WI,3,Van Orden,REPUBLICAN TOSS UP
CA,22,Valadao,LEAN REPUBLICAN
CA,40,Kim,LEAN REPUBLICAN
CA,41,Calvert,LEAN REPUBLICAN
IA,3,Nunn,LEAN REPUBLICAN
MI,10,OPEN (James),LEAN REPUBLICAN
NJ,7,Kean Jr.,LEAN REPUBLICAN
NY,17,Lawler,LEAN REPUBLICAN
PA,8,Bresnahan,LEAN REPUBLICAN
TX,34,Gonzalez,LEAN REPUBLICAN
VA,2,Kiggans,LEAN REPUBLICAN
AK,AL,Begich III,LIKELY REPUBLICAN
AZ,2,Crane,LIKELY REPUBLICAN
CA,3,Kiley,LIKELY REPUBLICAN
CO,3,Hurd,LIKELY REPUBLICAN
FL,13,Luna,LIKELY REPUBLICAN
MI,4,Huizenga,LIKELY REPUBLICAN
MT,1,Zinke,LIKELY REPUBLICAN
PA,1,Fitzpatrick,LIKELY REPUBLICAN
TX,15,De La Cruz,LIKELY REPUBLICAN
TX,35,OPEN (Casar),LIKELY REPUBLICAN
VA,1,Wittman,LIKELY REPUBLICAN
WI,1,Steil,LIKELY REPUBLICAN
