Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts
2020-01-01,Fine Line,Harry Styles,1,1,1,2
2020-01-01,Christmas,Michael Buble,2,6,1,81
2020-01-01,Please Excuse Me For Being Antisocial,Roddy Ricch,3,3,1,3
2020-01-01,Merry Christmas,Mariah Carey,4,8,3,90
2020-01-01,When We All Fall Asleep; Where Do We Go?,Billie Eilish,5,9,1,39
2020-01-01,Hollywood's Bleeding,Post Malone,6,4,1,16
2020-01-01,The Best Of Pentatonix Christmas,Pentatonix,7,7,7,9
2020-01-01,The Christmas Song,Nat King Cole,8,11,7,48
2020-01-01,Frozen II,Soundtrack,9,5,1,6
2020-01-01,So Much Fun,Young Thug,10,36,1,19
2020-01-01,Lover,Taylor Swift,11,10,1,18
2020-01-01,Ultimate Christmas,Frank Sinatra,12,23,12,19
2020-01-01,A Charlie Brown Christmas (Soundtrack),Vince Guaraldi Trio,13,13,13,79
2020-01-01,The Best Of Bing Crosby: 20th Century Masters: The Christmas Collection,Bing Crosby,14,21,14,42
2020-01-01,A Christmas Gift For You From Phil Spector,Various Artists,15,25,12,9
2020-01-01,Rudolph The Red-Nosed Reindeer,Burl Ives,16,26,16,42
2020-01-01,Rockin' Around The Christmas Tree: The Decca Christmas Recordings,Brenda Lee,17,33,17,7
2020-01-01,The Classic Christmas Album,Perry Como,18,32,18,13
2020-01-01,What You See Is What You Get,Luke Combs,19,14,1,7
2020-01-01,KIRK,DaBaby,20,17,1,13
2020-01-01,Rudolph The Red Nosed Reindeer And Other Christmas Classics,Gene Autry,21,35,21,13
2020-01-01,A Legendary Christmas,John Legend,22,27,22,15
2020-01-01,Classic Christmas Album,Andy Williams,23,38,23,20
2020-01-01,Fully Loaded: God's Country,Blake Shelton,24,2,2,2
2020-01-01,It's Christmas Time,Elvis Presley,25,39,25,76
2020-01-01,Cuz I Love You,Lizzo,26,28,4,36
2020-01-01,The Best Of Bobby Helms,Bobby Helms,27,47,27,3
2020-01-01,Over It,Summer Walker,28,19,2,12
2020-01-01,Abbey Road,The Beatles,29,29,1,341
2020-01-01,A Love Letter To You 4,Trippie Redd,30,15,1,5
2020-01-01,Christmas Classics,Bing Crosby,31,44,19,27
2020-01-01,Dont Smile At Me,Billie Eilish,32,37,14,105
2020-01-01,AI YoungBoy 2,YoungBoy Never Broke Again,33,24,1,11
2020-01-01,Goodbye & Good Riddance,Juice WRLD,34,12,4,84
2020-01-01,Romance,Camila Cabello,35,18,3,3
2020-01-01,Wrapped In Red,Kelly Clarkson,36,41,3,44
2020-01-01,Greatest Hits,Queen,37,30,11,366
2020-01-01,The Dean Martin Christmas Album,Dean Martin,38,51,38,14
2020-01-01,Death Race For Love,Juice WRLD,39,20,1,42
2020-01-01,The Andy Williams Christmas Album,Andy Williams,40,60,40,8
2020-01-01,Ghetto Gospel,Rod Wave,41,31,10,8
2020-01-01,Star Wars: The Rise Of Skywalker,Soundtrack,42,42,1,-
2020-01-01,Last Christmas (Soundtrack),George Michael & Wham!,43,59,43,7
2020-01-01,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,44,42,20,32
2020-01-01,beerbongs & bentleys,Post Malone,45,40,1,87
2020-01-01,Diamonds,Elton John,46,53,7,111
