sector,BLOCK,END_DATE,SHIFT,NEIGHBORHOOD_CLUSTER,CCN,DISTRICT,OFFENSE,OCTO_RECORD_ID,VOTING_PRECINCT,START_DATE,location,ANC,WARD,XBLOCK,YBLOCK,offensegroup,offensekey,ucr-rank,BLOCK_GROUP,LONGITUDE,REPORT_DAT,CENSUS_TRACT,PSA,BID,YEAR,offense-text,METHOD,LATITUDE
2D2,5000 - 5027 block of garfield street nw,"3/18/2025, 1:30:00 PM",evening,cluster 13,25039048,2,motor vehicle theft,,precinct 8,"3/18/2025, 12:30:00 PM","38.9279577523,-77.0985875298",3D,3,391451.49,140013.46,property,property|motor vehicle theft,8,000902 1,-77.0985875298,"3/18/2025, 4:34:02 PM",000902,205,,2025,motor vehicle theft,others,38.9279577523
2D2,3700 - 3749 block of newark street nw,"7/3/2025, 9:12:00 PM",evening,cluster 14,25100108,2,theft/other,,precinct 29,"7/3/2025, 8:57:00 PM","38.934751414,-77.0732898841",3A,3,393645.65,140765.55,property,property|theft/other,6,001002 4,-77.0732898841,"7/3/2025, 9:12:38 PM",001002,204,,2025,theft/other,others,38.934751414
2D2,3900 - 4099 block of massachusetts avenue nw,"8/18/2025, 12:50:00 PM",evening,cluster 14,25423586,2,theft/other,,precinct 28,"8/15/2025, 12:50:00 PM","38.9324226132,-77.0783859624",3A,3,393203.59,140507.4,property,property|theft/other,6,000703 1,-77.0783859624,"8/20/2025, 3:32:00 PM",000703,205,,2025,theft/other,others,38.9324226132
2D2,3700 - 3749 block of newark street nw,"5/21/2025, 12:20:00 PM",day,cluster 14,25075447,2,theft/other,,precinct 29,"5/21/2025, 12:15:00 PM","38.934751414,-77.0732898841",3A,3,393645.65,140765.55,property,property|theft/other,6,001002 4,-77.0732898841,"5/21/2025, 12:44:47 PM",001002,204,,2025,theft/other,others,38.934751414
2D1,4500 - 4537 block of wisconsin avenue nw,"3/3/2025, 3:48:00 PM",evening,cluster 11,25030772,2,theft/other,,precinct 31,"3/3/2025, 2:54:00 PM","38.9483570552,-77.0799373128",3E,3,393070.63,142276.38,property,property|theft/other,6,001004 2,-77.0799373128,"3/3/2025, 4:08:14 PM",001004,202,,2025,theft/other,others,38.9483570552
2D1,4500 - 4537 block of wisconsin avenue nw,"1/2/2025, 3:40:00 PM",evening,cluster 11,25000828,2,theft/other,,precinct 31,"1/2/2025, 3:14:00 PM","38.9483570552,-77.0799373128",3E,3,393070.63,142276.38,property,property|theft/other,6,001004 2,-77.0799373128,"1/2/2025, 3:44:26 PM",001004,202,,2025,theft/other,others,38.9483570552
2D2,10 - 99 block of ridge square nw,"7/27/2025, 11:00:00 PM",midnight,cluster 14,25113891,2,theft/other,,precinct 29,"7/27/2025, 10:40:00 PM","38.9400305108,-77.0778067509",3A,3,393254.53,141351.9,property,property|theft/other,6,001002 2,-77.0778067509,"7/27/2025, 11:15:47 PM",001002,204,,2025,theft/other,others,38.9400305108
2D1,4500 - 4537 block of wisconsin avenue nw,"5/8/2025, 12:20:00 AM",midnight,cluster 11,25067616,2,assault w/dangerous weapon,,precinct 31,"5/7/2025, 11:00:00 PM","38.9483570552,-77.0799373128",3E,3,393070.63,142276.38,violent,violent|assault w/dangerous weapon,3,001004 2,-77.0799373128,"5/8/2025, 1:05:11 AM",001004,202,,2025,assault w/dangerous weapon,others,38.9483570552
2D1,3800 - 3899 block of upton street nw,,day,cluster 11,25102088,2,theft f/auto,,precinct 33,"7/7/2025, 10:12:00 AM","38.9422190208,-77.0755557725",3A,3,393449.88,141594.68,property,property|theft f/auto,7,001200 4,-77.0755557725,"7/7/2025, 11:07:25 AM",001200,202,,2025,theft f/auto,others,38.9422190208
2D2,3700 - 3749 block of newark street nw,"7/27/2025, 9:05:00 AM",day,cluster 14,25113541,2,theft/other,,precinct 29,"7/27/2025, 8:18:00 AM","38.934751414,-77.0732898841",3A,3,393645.65,140765.55,property,property|theft/other,6,001002 4,-77.0732898841,"7/27/2025, 9:06:17 AM",001002,204,,2025,theft/other,others,38.934751414
2D1,4100 - 4199 block of 45th street nw,"5/23/2025, 1:20:00 PM",day,cluster 11,25076598,2,theft f/auto,,precinct 30,"5/23/2025, 12:33:00 PM","38.9426959444,-77.087770451",3E,3,392391.01,141648.57,property,property|theft f/auto,7,001004 3,-77.087770451,"5/23/2025, 1:20:33 PM",001004,202,,2025,theft f/auto,others,38.9426959444
2D2,4900 - 4908 block of massachusetts avenue nw,"3/7/2025, 7:30:00 PM",evening,cluster 13,25033182,2,theft f/auto,,precinct 9,"3/7/2025, 5:30:00 PM","38.9460519441,-77.0970491269",3D,3,391587.02,142021.93,property,property|theft f/auto,7,000904 2,-77.0970491269,"3/7/2025, 8:30:54 PM",000904,205,,2025,theft f/auto,others,38.9460519441
2D2,3900 - 3999 block of langley court nw,"7/23/2025, 12:00:00 PM",day,cluster 14,25111338,2,motor vehicle theft,,precinct 29,"7/22/2025, 7:30:00 PM","38.9367774178,-77.077966755",3A,3,393240.35,140990.79,property,property|motor vehicle theft,8,001002 2,-77.077966755,"7/23/2025, 1:50:47 PM",001002,204,,2025,motor vehicle theft,others,38.9367774178
2D1,4300 - 4326 block of wisconsin avenue nw,"8/12/2025, 11:20:00 AM",day,cluster 11,25122613,2,theft/other,,precinct 33,"8/12/2025, 11:13:00 AM","38.9451386287,-77.0781266684",3E,3,393227.28,141918.97,property,property|theft/other,6,001200 4,-77.0781266684,"8/12/2025, 11:33:57 AM",001200,202,,2025,theft/other,others,38.9451386287
