END_DATE,REPORT_DAT,offensegroup,METHOD,OFFENSE,offensekey,location,sector,YEAR,DISTRICT,OCTO_RECORD_ID,WARD,BID,LATITUDE,VOTING_PRECINCT,offense-text,START_DATE,PSA,ucr-rank,CENSUS_TRACT,XBLOCK,LONGITUDE,YBLOCK,BLOCK_GROUP,CCN,NEIGHBORHOOD_CLUSTER,ANC,BLOCK,SHIFT
"8/23/2024, 12:18:00 AM","8/23/2024, 12:00:00 AM",violent,gun,homicide,violent|homicide,"38.916261332,-77.0218933402",3D2,2024,3,,1,,38.916261332,precinct 37,homicide,"8/23/2024, 12:17:00 AM",306,1,003400,398101.31999619,-77.0218933402,138710.67001415,003400 3,24129452,cluster 3,1B,georgia avenue nw and florida avenue nw,midnight
,"4/5/2025, 12:00:00 AM",violent,gun,homicide,violent|homicide,"38.9345943775,-77.023089487",4D3,2025,4,,1,,38.9345943775,precinct 43,homicide,"4/4/2025, 10:40:00 PM",409,1,003200,397998.1,-77.023089487,140745.82,003200 1,25049250,cluster 2,1E,700 - 799 block of otis place nw,midnight
"5/17/2025, 11:42:00 PM","5/17/2025, 12:00:00 AM",violent,gun,homicide,violent|homicide,"38.8206698736,-77.0090212692",7D3,2025,7,,8,,38.8206698736,precinct 126,homicide,"5/17/2025, 8:21:00 PM",708,1,010900,399216.59,-77.0090212692,128099.12,010900 2,25073396,cluster 39,8D,108 - 149 block of irvington street sw,midnight
,"2/28/2024, 12:00:00 AM",violent,gun,homicide,violent|homicide,"38.9497345805,-77.0288848896",4D3,2024,4,,4,,38.9497345805,precinct 54,homicide,"1/20/2024, 4:03:00 PM",404,1,002002,397496.15999563,-77.0288848896,142426.6600016,002002 3,24009849,cluster 18,4E,emerson street nw and arkansas avenue nw,midnight
,"5/23/2025, 12:00:00 AM",violent,gun,homicide,violent|homicide,"38.8257631909,-76.9998881546",7D3,2025,7,,8,,38.8257631909,precinct 125,homicide,"5/23/2025, 10:19:00 PM",706,1,009811,400009.711997962,-76.9998881546,128664.4730768313,009811 1,25076989,cluster 39,8E,4230 - 4299 block of 4th street se,midnight
"5/29/2024, 4:00:00 AM","5/29/2024, 12:00:00 AM",violent,gun,homicide,violent|homicide,"38.9078962825,-77.0099718378",3D2,2024,3,,5,,38.9078962825,precinct 19,homicide,"5/29/2024, 12:03:00 AM",308,1,004600,399135.1,-77.0099718378,137781.9,004600 1,24080821,cluster 21,5E,1 - 99 block of hanover place nw,midnight
"11/4/2023, 3:40:00 PM","11/4/2023, 12:00:00 AM",violent,gun,homicide,violent|homicide,"38.8775161271,-76.9845951078",1D3,2023,1,,6,,38.8775161271,precinct 91,homicide,"11/4/2023, 3:39:00 PM",106,1,007100,401336.7010551934,-76.9845951078,134409.5291141627,007100 1,23181500,cluster 26,6B,1400 - 1499 block of l street se,midnight
"1/16/2025, 2:23:00 AM","1/16/2025, 12:00:00 AM",violent,gun,homicide,violent|homicide,"38.9400305108,-77.0778067509",2D2,2025,2,,3,,38.9400305108,precinct 29,homicide,"1/16/2025, 2:19:00 AM",204,1,001002,393254.53,-77.0778067509,141351.9,001002 2,25007196,cluster 14,3A,10 - 99 block of ridge square nw,midnight
"10/25/2023, 11:41:00 AM","10/25/2023, 12:00:00 AM",violent,gun,homicide,violent|homicide,"38.8881841932,-76.9560711722",6D3,2023,6,,7,,38.8881841932,precinct 132,homicide,"10/25/2023, 11:40:00 AM",603,1,007708,403811.1873294897,-76.9560711722,135594.5705872624,007708 1,23175663,cluster 32,7F,100 - 199 block of 35th street se,midnight
"7/18/2024, 5:00:00 PM","7/18/2024, 12:00:00 AM",violent,gun,homicide,violent|homicide,"38.9212986071,-76.9758141232",5D2,2024,5,,5,,38.9212986071,precinct 72,homicide,"7/18/2024, 3:30:00 PM",505,1,011100,402097.35,-76.9758141232,139269.9,011100 3,24110189,cluster 22,5C,2000 - 2069 block of bryant street ne,midnight
